
2022/07/31 (15:48:06) | ===> btop++ v.1.2.8
2022/07/31 (15:48:06) | WARNING: Failed to join _runner thread on exit!

2022/08/06 (13:00:18) | ===> btop++ v.1.2.8
2022/08/06 (13:00:18) | INFO: Logger set to INFO
2022/08/06 (13:12:33) | INFO: Quitting! Runtime: 00:12:49

2022/08/07 (12:56:56) | ===> btop++ v.1.2.8
2022/08/07 (12:56:56) | INFO: Logger set to INFO
2022/08/07 (12:56:56) | INFO: Running on /dev/tty1
2022/08/07 (12:56:56) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/07 (12:57:13) | INFO: Quitting! Runtime: 00:00:17

2022/08/07 (12:57:16) | ===> btop++ v.1.2.8
2022/08/07 (12:57:16) | INFO: Logger set to INFO
2022/08/07 (12:57:16) | INFO: Running on /dev/tty1
2022/08/07 (12:57:16) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/07 (12:57:26) | INFO: Quitting! Runtime: 00:00:10

2022/08/07 (12:57:28) | ===> btop++ v.1.2.8
2022/08/07 (12:57:28) | INFO: Logger set to INFO
2022/08/07 (12:57:28) | INFO: Running on /dev/tty1
2022/08/07 (12:57:28) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2022/08/07 (12:57:30) | INFO: Quitting! Runtime: 00:00:02

2022/08/07 (13:15:30) | ===> btop++ v.1.2.8
2022/08/07 (13:15:30) | INFO: Logger set to INFO
2022/08/07 (13:15:30) | INFO: Running on /dev/pts/0
2022/08/07 (13:15:57) | INFO: Quitting! Runtime: 00:00:27

2022/08/07 (13:16:01) | ===> btop++ v.1.2.8
2022/08/07 (13:16:01) | INFO: Logger set to INFO
2022/08/07 (13:16:01) | INFO: Running on /dev/pts/0
2022/08/07 (13:16:03) | INFO: Quitting! Runtime: 00:00:02

2022/08/07 (13:16:18) | ===> btop++ v.1.2.8
2022/08/07 (13:16:18) | INFO: Logger set to INFO
2022/08/07 (13:16:18) | INFO: Running on /dev/pts/0
2022/08/07 (13:16:20) | INFO: Quitting! Runtime: 00:00:02

2022/08/07 (13:16:21) | ===> btop++ v.1.2.8
2022/08/07 (13:16:21) | INFO: Logger set to INFO
2022/08/07 (13:16:21) | INFO: Running on /dev/pts/0
2022/08/07 (13:16:21) | INFO: Quitting! Runtime: 00:00:00

2022/08/07 (13:16:23) | ===> btop++ v.1.2.8
2022/08/07 (13:16:23) | INFO: Logger set to INFO
2022/08/07 (13:16:23) | INFO: Running on /dev/pts/0
